"budget","genres","homepage","id","keywords","original_language","original_title","overview","popularity","production_companies","production_countries","release_date","revenue","runtime","tagline","title","vote_average","vote_count"
"237000000","  ""Action"",   ""Adventure"",   ""Fantasy"",   ""Science Fiction""","http//www.avatarmovie.com/","19995"," 1463,  ""culture clash"",  2964,  ""future"",  3386,  ""space war"",  3388,  ""space colony"",  3679,  ""society"",  3801,  ""space travel"",  9685,  ""futuristic"",  9840,  ""romance"",  9882,  ""space"",  9951,  ""alien"",  10148,  ""tribe"",  10158,  ""alien planet"",  10987,  ""cgi"",  11399,  ""marine"",  13065,  ""soldier"",  14643,  ""battle"",  14720,  ""love affair"",  165431,  ""anti war"",  193554,  ""power relations"",  206690,  ""mind and soul"",  209714,  ""3d""","en","Avatar","In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.","150.437577"," ""Ingenious Film Partners"",  289,  ""Twentieth Century Fox Film Corporation"",  306,  ""Dune Entertainment"",  444,  ""Lightstorm Entertainment"",  574","""iso_3166_1"" ""US"",  ""United States of America"", ""iso_3166_1"" ""GB"",  ""United Kingdom""","10//2009","2787965087","162","Enter the World of Pandora.","Avatar","7.2","11800"
"300000000","  ""Adventure"",   ""Fantasy"",   ""Action""","http//disney.go.com/disneypictures/pirates/","285"," 270,  ""ocean"",  726,  ""drug abuse"",  911,  ""exotic island"",  1319,  ""east india trading company"",  2038,  ""love of one's life"",  2052,  ""traitor"",  2580,  ""shipwreck"",  2660,  ""strong woman"",  3799,  ""ship"",  5740,  ""alliance"",  5941,  ""calypso"",  6155,  ""afterlife"",  6211,  ""fighter"",  988,  ""pirate"",  157186,  ""swashbuckler"",  179430,  ""aftercreditsstinger""","en","Pirates of the Caribbean At World's End","Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.","139.082615"," ""Walt Disney Pictures"",  2,  ""Jerry Bruckheimer Films"",  130,  ""Second Mate Productions"",  19936","""iso_3166_1"" ""US"",  ""United States of America""","39221","961000000","169","At the end of the world, the adventure begins.","Pirates of the Caribbean At World's End","6.9","4500"
"245000000","  ""Action"",   ""Adventure"",   ""Crime""","http//www.sonypictures.com/movies/spectre/","206647"," 470,  ""spy"",  818,  ""based on novel"",  4289,  ""secret agent"",  9663,  ""sequel"",  14555,  ""mi6"",  156095,  ""british secret service"",  158431,  ""united kingdom""","en","Spectre","A cryptic message from Bondâ€™s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.","107.376788"," ""Columbia Pictures"",  5,  ""Danjaq"",  10761,  ""B24"",  69434","""iso_3166_1"" ""GB"",  ""United Kingdom"", ""iso_3166_1"" ""US"",  ""United States of America""","42303","880674609","148","A Plan No One Escapes","Spectre","6.3","4466"
"250000000","  ""Action"",   ""Crime"",   ""Drama"",   ""Thriller""","http//www.thedarkknightrises.com/","49026"," 849,  ""dc comics"",  853,  ""crime fighter"",  949,  ""terrorist"",  1308,  ""secret identity"",  1437,  ""burglar"",  3051,  ""hostage drama"",  3562,  ""time bomb"",  6969,  ""gotham city"",  7002,  ""vigilante"",  9665,  ""cover-up"",  9715,  ""superhero"",  9990,  ""villainess"",  10044,  ""tragic hero"",  13015,  ""terrorism"",  14796,  ""destruction"",  18933,  ""catwoman"",  156082,  ""cat burglar"",  156395,  ""imax"",  173272,  ""flood"",  179093,  ""criminal underworld"",  230775,  ""batman""","en","The Dark Knight Rises","Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.","1.395"," ""Legendary Pictures"",  923,  ""Warner Bros."",  6194,  ""DC Entertainment"",  9993,  ""Syncopy"",  9996","""iso_3166_1"" ""US"",  ""United States of America""","44028","1084939099","165","The Legend Ends","The Dark Knight Rises","7.6","9106"
"260000000","  ""Action"",   ""Adventure"",   ""Science Fiction""","http//movies.disney.com/john-carter","49529"," 818,  ""based on novel"",  839,  ""mars"",  1456,  ""medallion"",  3801,  ""space travel"",  7376,  ""princess"",  9951,  ""alien"",  10028,  ""steampunk"",  10539,  ""martian"",  10685,  ""escape"",  161511,  ""edgar rice burroughs"",  163252,  ""alien race"",  179102,  ""superhuman strength"",  190320,  ""mars civilization"",  195446,  ""sword and planet"",  207928,  ""19th century"",  209714,  ""3d""","en","John Carter","John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.","43.926995"," ""Walt Disney Pictures"",  2","""iso_3166_1"" ""US"",  ""United States of America""","43897","284139100","132","Lost in our world, found in another.","John Carter","6.1","24"
"258000000","  ""Fantasy"",   ""Action"",   ""Adventure""","http//www.sonypictures.com/movies/spider-man3/","559"," 851,  ""dual identity"",  1453,  ""amnesia"",  1965,  ""sandstorm"",  2038,  ""love of one's life"",  3446,  ""forgiveness"",  3986,  ""spider"",  4391,  ""wretch"",  4959,  ""death of a friend"",  5776,  ""egomania"",  5789,  ""sand"",  5857,  ""narcism"",  6062,  ""hostility"",  8828,  ""marvel comic"",  9663,  ""sequel"",  9715,  ""superhero"",  9748,  ""revenge""","en","Spider-Man 3","The seemingly invincible Spider-Man goes up against an all-new crop of villain â€“ including the shape-shifting Sandman. While Spider-Manâ€™s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.","115.699814"," ""Columbia Pictures"",  5,  ""Laura Ziskin Productions"",  326,  ""Marvel Enterprises"",  19551","""iso_3166_1"" ""US"",  ""United States of America""","39203","890871626","139","The battle within.","Spider-Man 3","5.9","3576"
"260000000","  ""Animation"",   ""Family""","http//disney.go.com/disneypictures/tangled/","38757"," 1562,  ""hostage"",  2343,  ""magic"",  2673,  ""horse"",  3205,  ""fairy tale"",  4344,  ""musical"",  7376,  ""princess"",  10336,  ""animation"",  33787,  ""tower"",  155658,  ""blonde woman"",  162219,  ""selfishness"",  163545,  ""healing power"",  179411,  ""based on fairy tale"",  179431,  ""duringcreditsstinger"",  215258,  ""healing gift"",  234183,  ""animal sidekick""","en","Tangled","When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.","48.681969"," ""Walt Disney Pictures"",  2,  ""Walt Disney Animation Studios"",  65","""iso_3166_1"" ""US"",  ""United States of America""","40506","591794936","100","They're taking adventure to new lengths.","Tangled","7.4","3330"
"280000000","  ""Action"",   ""Adventure"",   ""Science Fiction""","http//marvel.com/movies/movie/193/avengers_age_of_ultron","99861"," 8828,  ""marvel comic"",  9663,  ""sequel"",  9715,  ""superhero"",  9717,  ""based on comic book"",  10629,  ""vision"",  155030,  ""superhero team"",  179431,  ""duringcreditsstinger"",  180547,  ""marvel cinematic universe"",  209714,  ""3d""","en","Avengers Age of Ultron","When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earthâ€™s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.","134.279229"," ""Marvel Studios"",  420,  ""Prime Focus"",  15357,  ""Revolution Sun Studios"",  76043","""iso_3166_1"" ""US"",  ""United States of America""","42116","1405403694","141","A New Age Has Come.","Avengers Age of Ultron","7.3","6767"
"250000000","  ""Adventure"",   ""Fantasy"",   ""Family""","http//harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html","767"," 616,  ""witch"",  2343,  ""magic"",  3872,  ""broom"",  3884,  ""school of witchcraft"",  6333,  ""wizardry"",  10164,  ""apparition"",  10791,  ""teenage crush"",  564,  ""werewolf""","en","Harry Potter and the Half-Blood Prince","As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.","98.885637"," ""Warner Bros."",  6194,  ""Heyday Films"",  7364","""iso_3166_1"" ""GB"",  ""United Kingdom"", ""iso_3166_1"" ""US"",  ""United States of America""","40001","933959197","153","Dark Secrets Revealed","Harry Potter and the Half-Blood Prince","7.4","5293"
"250000000","  ""Action"",   ""Adventure"",   ""Fantasy""","http//www.batmanvsupermandawnofjustice.com/","2091"," 849,  ""dc comics"",  7002,  ""vigilante"",  9715,  ""superhero"",  9717,  ""based on comic book"",  9748,  ""revenge"",  163455,  ""super powers"",  195242,  ""clark kent"",  195243,  ""bruce wayne"",  229266,  ""dc extended universe""","en","Batman v Superman Dawn of Justice","Fearing the actions of a god-like Super Hero left unchecked, Gotham Cityâ€™s own formidable, forceful vigilante takes on Metropolisâ€™s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than itâ€™s ever known before.","155.790452"," ""DC Comics"",  429,  ""Atlas Entertainment"",  507,  ""Warner Bros."",  6194,  ""DC Entertainment"",  9993,  ""Cruel & Unusual Films"",  9995,  ""RatPac-Dune Entertainment"",  41624","""iso_3166_1"" ""US"",  ""United States of America""","42452","873260194","151","Justice or revenge","Batman v Superman Dawn of Justice","5.7","7004"
